timestamp,open,high,low,close,volume
2025-11-20T00:00:00,1.1,1.101,1.099,1.1003,100000
2025-11-20T04:00:00,1.1003,1.1013,1.0993,1.1006,100100
2025-11-20T08:00:00,1.1006,1.1016,1.0996,1.1009,100200
2025-11-20T12:00:00,1.1009,1.1019,1.0999,1.1012,100300
2025-11-20T16:00:00,1.1012,1.1022,1.1002,1.1015,100400
2025-11-20T20:00:00,1.1015,1.1025,1.1005,1.1018,100500
2025-11-21T00:00:00,1.1018,1.1028,1.1008,1.1021,100600
2025-11-21T04:00:00,1.1021,1.1031,1.1011,1.1024,100700
2025-11-21T08:00:00,1.1024,1.1034,1.1014,1.1027,100800
2025-11-21T12:00:00,1.1027,1.1037,1.1017,1.103,100900
2025-11-21T16:00:00,1.103,1.104,1.102,1.1033,101000
2025-11-21T20:00:00,1.1033,1.1043,1.1023,1.1036,101100
2025-11-22T00:00:00,1.1036,1.1046,1.1026,1.1039,101200
2025-11-22T04:00:00,1.1039,1.1049,1.1029,1.1042,101300
2025-11-22T08:00:00,1.1042,1.1052,1.1032,1.1045,101400
2025-11-22T12:00:00,1.1045,1.1055,1.1035,1.1048,101500
2025-11-22T16:00:00,1.1048,1.1058,1.1038,1.1051,101600
2025-11-22T20:00:00,1.1051,1.1061,1.1041,1.1054,101700
2025-11-23T00:00:00,1.1054,1.1064,1.1044,1.1057,101800
2025-11-23T04:00:00,1.1057,1.1067,1.1047,1.106,101900
2025-11-23T08:00:00,1.106,1.107,1.105,1.1063,102000
2025-11-23T12:00:00,1.1063,1.1073,1.1053,1.1066,102100
2025-11-23T16:00:00,1.1066,1.1076,1.1056,1.1069,102200
2025-11-23T20:00:00,1.1069,1.1079,1.1059,1.1072,102300
2025-11-24T00:00:00,1.1072,1.1082,1.1062,1.1075,102400
2025-11-24T04:00:00,1.1075,1.1085,1.1065,1.1078,102500
2025-11-24T08:00:00,1.1078,1.1088,1.1068,1.1081,102600
2025-11-24T12:00:00,1.1081,1.1091,1.1071,1.1084,102700
2025-11-24T16:00:00,1.1084,1.1094,1.1074,1.1087,102800
2025-11-24T20:00:00,1.1087,1.1097,1.1077,1.109,102900
2025-11-25T00:00:00,1.109,1.11,1.108,1.1093,103000
2025-11-25T04:00:00,1.1093,1.1103,1.1083,1.1096,103100
2025-11-25T08:00:00,1.1096,1.1106,1.1086,1.1099,103200
2025-11-25T12:00:00,1.1099,1.1109,1.1089,1.1102,103300
2025-11-25T16:00:00,1.1102,1.1112,1.1092,1.1105,103400
2025-11-25T20:00:00,1.1105,1.1115,1.1095,1.1108,103500
2025-11-26T00:00:00,1.1108,1.1118,1.1098,1.1111,103600
2025-11-26T04:00:00,1.1111,1.1121,1.1101,1.1114,103700
2025-11-26T08:00:00,1.1114,1.1124,1.1104,1.1117,103800
2025-11-26T12:00:00,1.1117,1.1127,1.1107,1.112,103900
2025-11-26T16:00:00,1.112,1.113,1.111,1.1123,104000
2025-11-26T20:00:00,1.1123,1.1133,1.1113,1.1126,104100
2025-11-27T00:00:00,1.1126,1.1136,1.1116,1.1129,104200
2025-11-27T04:00:00,1.1129,1.1139,1.1119,1.1132,104300
2025-11-27T08:00:00,1.1132,1.1142,1.1122,1.1135,104400
2025-11-27T12:00:00,1.1135,1.1145,1.1125,1.1138,104500
2025-11-27T16:00:00,1.1138,1.1148,1.1128,1.1141,104600
2025-11-27T20:00:00,1.1141,1.1151,1.1131,1.1144,104700
2025-11-28T00:00:00,1.1144,1.1154,1.1134,1.1147,104800
2025-11-28T04:00:00,1.1147,1.1157,1.1137,1.115,104900
2025-11-28T08:00:00,1.115,1.116,1.114,1.1153,105000
2025-11-28T12:00:00,1.1153,1.1163,1.1143,1.1156,105100
2025-11-28T16:00:00,1.1156,1.1166,1.1146,1.1159,105200
2025-11-28T20:00:00,1.1159,1.1169,1.1149,1.1162,105300
2025-11-29T00:00:00,1.1162,1.1172,1.1152,1.1165,105400
2025-11-29T04:00:00,1.1165,1.1175,1.1155,1.1168,105500
2025-11-29T08:00:00,1.1168,1.1178,1.1158,1.1171,105600
2025-11-29T12:00:00,1.1171,1.1181,1.1161,1.1174,105700
2025-11-29T16:00:00,1.1174,1.1184,1.1164,1.1177,105800
2025-11-29T20:00:00,1.1177,1.1187,1.1167,1.118,105900
